,R_fighter,B_fighter,Winner,finish,finish_details,weight_class
271,Bethe Correia,Pannie Kianzad,Blue,U-DEC,,Women's Bantamweight
272,Ramazan Emeev,Niklas Stolze,Red,U-DEC,,Welterweight
273,Nathaniel Wood,John Castaneda,Red,U-DEC,,Bantamweight
274,Deiveson Figueiredo,Joseph Benavidez,Red,SUB,Rear Naked Choke,Flyweight
275,Jack Hermansson,Kelvin Gastelum,Red,SUB,Heel Hook,Middleweight
276,Marc Diakiese,Rafael Fiziev,Blue,U-DEC,,Lightweight
277,Ariane Lipski,Luana Carolina,Red,SUB,Kneebar,Women's Flyweight
278,Alexandre Pantoja,Askar Askarov,Blue,U-DEC,,Flyweight
279,Roman Dolidze,Khadis Ibragimov,Red,KO/TKO,Kick,Light Heavyweight
280,Grant Dawson,Nad Narimani,Red,U-DEC,,Catch Weight
281,Joe Duffy,Joel Alvarez,Blue,SUB,Guillotine Choke,Lightweight
282,Brett Johns,Montel Jackson,Red,U-DEC,,Bantamweight
283,Malcolm Gordon,Amir Albazi,Blue,SUB,Triangle Choke,Flyweight
284,Davi Ramos,Arman Tsarukyan,Blue,U-DEC,,Lightweight
285,Carlos Felipe,Serghei Spivac,Blue,M-DEC,,Heavyweight
286,Calvin Kattar,Dan Ige,Red,U-DEC,,Featherweight
287,Tim Elliott,Ryan Benoit,Red,U-DEC,,Flyweight
288,Jimmie Rivera,Cody Stamann,Red,U-DEC,,Featherweight
289,Molly McCann,Taila Santos,Blue,U-DEC,,Women's Flyweight
290,Abdul Razak Alhassan,Mounir Lazzez,Blue,U-DEC,,Welterweight
291,John Phillips,Khamzat Chimaev,Blue,SUB,D'Arce Choke,Middleweight
292,Ricardo Ramos,Lerone Murphy,Blue,KO/TKO,Punches,Featherweight
293,Modestas Bukauskas,Andreas Michailidis,Red,KO/TKO,,Light Heavyweight
294,Jared Gordon,Chris Fishgold,Red,U-DEC,,Featherweight
295,Diana Belbita,Liana Jojua,Blue,SUB,Armbar,Women's Flyweight
296,Jack Shore,Aaron Phillips,Red,SUB,Rear Naked Choke,Bantamweight
297,Kamaru Usman,Jorge Masvidal,Red,U-DEC,,Welterweight
298,Alexander Volkanovski,Max Holloway,Red,S-DEC,,Featherweight
299,Petr Yan,Jose Aldo,Red,KO/TKO,Punches,Bantamweight
300,Jessica Andrade,Rose Namajunas,Blue,S-DEC,,Women's Strawweight
301,Amanda Ribas,Paige VanZant,Red,SUB,Armbar,Women's Flyweight
302,Volkan Oezdemir,Jiri Prochazka,Blue,KO/TKO,Punch,Light Heavyweight
303,Elizeu Zaleski dos Santos,Muslim Salikhov,Blue,S-DEC,,Welterweight
304,Makwan Amirkhani,Danny Henry,Red,SUB,Anaconda Choke,Featherweight
305,Leonardo Santos,Roman Bogatov,Red,U-DEC,,Lightweight
306,Marcin Tybura,Maxim Grishin,Red,U-DEC,,Heavyweight
307,Raulian Paiva,Zhalgas Zhamagulov,Red,,,Flyweight
308,Karol Rosa,Vanessa Melo,Red,U-DEC,,Women's Bantamweight
309,Martin Day,Davey Grant,Blue,KO/TKO,Punch,Bantamweight
310,Dustin Poirier,Dan Hooker,Red,U-DEC,,Lightweight
311,Mike Perry,Mickey Gall,Red,U-DEC,,Welterweight
312,Brendan Allen,Kyle Daukaus,Red,U-DEC,,Middleweight
313,Gian Villante,Maurice Greene,Blue,SUB,Arm Triangle,Heavyweight
314,Luis Pena,Khama Worthy,Blue,SUB,Guillotine Choke,Lightweight
315,Mara Romero Borella,Miranda Maverick,Red,,,Women's Flyweight
316,Philipe Lins,Tanner Boser,Blue,KO/TKO,Punches,Heavyweight
317,Sean Woodson,Julian Erosa,Blue,SUB,D'Arce Choke,Catch Weight
318,Takashi Sato,Jason Witt,Red,KO/TKO,Punches,Welterweight
319,Kay Hansen,Jinh Yu Frey,Red,SUB,Armbar,Women's Strawweight
320,Jordan Griffin,Youssef Zalal,Blue,U-DEC,,Featherweight
321,Curtis Blaydes,Alexander Volkov,Red,U-DEC,,Heavyweight
322,Josh Emmett,Shane Burgos,Red,U-DEC,,Featherweight
323,Raquel Pennington,Marion Reneau,Red,U-DEC,,Women's Bantamweight
324,Belal Muhammad,Lyman Good,Red,U-DEC,,Welterweight
325,Jim Miller,Roosevelt Roberts,Red,SUB,Armbar,Catch Weight
326,Clay Guida,Bobby Green,Blue,U-DEC,,Lightweight
327,Tecia Torres,Brianna Van Buren,Red,U-DEC,,Women's Strawweight
328,Marc-Andre Barriault,Oskar Piechota,Red,KO/TKO,Punches,Middleweight
329,Cortney Casey,Gillian Robertson,Blue,SUB,Rear Naked Choke,Women's Flyweight
330,Frank Camacho,Justin Jaynes,Blue,KO/TKO,Punches,Lightweight
331,Roxanne Modafferi,Lauren Murphy,Blue,U-DEC,,Women's Flyweight
332,Austin Hubbard,Max Rohskopf,Red,KO/TKO,,Lightweight
333,Jessica Eye,Cynthia Calvillo,Blue,U-DEC,,Women's Flyweight
334,Karl Roberson,Marvin Vettori,Blue,SUB,Rear Naked Choke,Middleweight
335,Charles Rosa,Kevin Aguilar,Red,S-DEC,,Lightweight
336,Andre Fili,Charles Jourdain,Red,S-DEC,,Featherweight
337,Jordan Espinosa,Mark De La Rosa,Red,U-DEC,,Bantamweight
338,Mariya Agapova,Hannah Cifers,Red,SUB,Rear Naked Choke,Women's Flyweight
339,Merab Dvalishvili,Gustavo Lopez,Red,U-DEC,,Catch Weight
340,Julia Avila,Gina Mazany,Red,KO/TKO,Punches,Women's Bantamweight
341,Tyson Nam,Zarrukh Adashev,Red,KO/TKO,Punch,Bantamweight
342,Anthony Ivy,Christian Aguilera,Blue,KO/TKO,Punches,Welterweight
343,Amanda Nunes,Felicia Spencer,Red,U-DEC,,Women's Featherweight
344,Raphael Assuncao,Cody Garbrandt,Blue,KO/TKO,Punch,Bantamweight
345,Aljamain Sterling,Cory Sandhagen,Red,SUB,Rear Naked Choke,Bantamweight
346,Neil Magny,Anthony Rocco Martin,Red,U-DEC,,Welterweight
347,Eddie Wineland,Sean O'Malley,Blue,KO/TKO,Punch,Bantamweight
348,Alex Caceres,Chase Hooper,Red,U-DEC,,Featherweight
349,Ian Heinisch,Gerald Meerschaert,Red,KO/TKO,Punch,Middleweight
350,Cody Stamann,Brian Kelleher,Red,U-DEC,,Featherweight
351,Charles Byrd,Maki Pitolo,Blue,KO/TKO,Punches,Middleweight
352,Jussier Formiga,Alex Perez,Blue,KO/TKO,Kick,Flyweight
353,Alonzo Menifield,Devin Clark,Blue,U-DEC,,Light Heavyweight
354,Evan Dunham,Herbert Burns,Blue,SUB,Rear Naked Choke,Catch Weight
355,Tyron Woodley,Gilbert Burns,Blue,U-DEC,,Welterweight
356,Blagoy Ivanov,Augusto Sakai,Blue,S-DEC,,Heavyweight
357,Billy Quarantillo,Spike Carlyle,Red,U-DEC,,Catch Weight
358,Roosevelt Roberts,Brok Weaver,Red,SUB,Rear Naked Choke,Lightweight
359,Mackenzie Dern,Hannah Cifers,Red,SUB,Kneebar,Women's Strawweight
360,Katlyn Chookagian,Antonina Shevchenko,Red,U-DEC,,Women's Flyweight
361,Daniel Rodriguez,Gabe Green,Red,U-DEC,,Welterweight
362,Jamahal Hill,Klidson Abreu,Red,KO/TKO,Knee,Light Heavyweight
363,Tim Elliott,Brandon Royval,Blue,SUB,Arm Triangle,Flyweight
