,R_fighter,B_fighter,Winner,finish,finish_details,weight_class
390,Anthony Pettis,Donald Cerrone,Red,U-DEC,,Welterweight
391,Aleksei Oleinik,Fabricio Werdum,Red,S-DEC,,Heavyweight
392,Carla Esparza,Michelle Waterson,Red,S-DEC,,Women's Strawweight
393,Uriah Hall,Jacare Souza,Red,,,Middleweight
394,Tony Ferguson,Justin Gaethje,Blue,KO/TKO,Punch,Lightweight
395,Henry Cejudo,Dominick Cruz,Red,KO/TKO,Knee,Bantamweight
396,Francis Ngannou,Jairzinho Rozenstruik,Red,KO/TKO,Punch,Heavyweight
397,Jeremy Stephens,Calvin Kattar,Blue,KO/TKO,Elbow,Featherweight
398,Greg Hardy,Yorgan De Castro,Red,U-DEC,,Heavyweight
399,Kevin Lee,Charles Oliveira,Blue,SUB,Guillotine Choke,Lightweight
400,Demian Maia,Gilbert Burns,Blue,KO/TKO,Punch,Welterweight
401,Renato Moicano,Damir Hadzovic,Red,SUB,Rear Naked Choke,Lightweight
402,Johnny Walker,Nikita Krylov,Blue,U-DEC,,Light Heavyweight
403,Francisco Trinaldo,John Makdessi,Red,U-DEC,,Lightweight
404,Jussier Formiga,Brandon Moreno,Blue,U-DEC,,Flyweight
405,Amanda Ribas,Randa Markos,Red,U-DEC,,Women's Strawweight
406,Elizeu Dos Santos,Aleksei Kunchenko,Red,,,Welterweight
407,Mayra Bueno Silva,Maryna Moroz,Blue,U-DEC,,Women's Flyweight
408,Bruno Silva,David Dvorak,Blue,U-DEC,,Flyweight
409,Veronica Macedo,Bea Malecki,Blue,U-DEC,,Women's Bantamweight
410,Israel Adesanya,Yoel Romero,Red,U-DEC,,Middleweight
411,Weili Zhang,Joanna Jedrzejczyk,Red,S-DEC,,Women's Strawweight
412,Beneil Dariush,Drakkar Klose,Red,KO/TKO,Punch,Lightweight
413,Neil Magny,Li Jingliang,Red,,,Welterweight
414,Alex Oliveira,Max Griffin,Red,S-DEC,,Welterweight
415,Sean O'Malley,Jose Quinonez,Red,KO/TKO,Punches,Bantamweight
416,Mark Madsen,Austin Hubbard,Red,U-DEC,,Lightweight
417,Rodolfo Vieira,Saparbeg Safarov,Red,SUB,Arm Triangle,Middleweight
418,Gerald Meerschaert,Deron Winn,Red,SUB,Rear Naked Choke,Middleweight
419,Jamall Emmers,Giga Chikadze,Blue,S-DEC,,Featherweight
420,Danaa Batgerel,Guido Cannetti,Red,KO/TKO,Punch,Bantamweight
421,Joseph Benavidez,Deiveson Figueiredo,Blue,KO/TKO,Punch,Flyweight
422,Felicia Spencer,Zarah Fairn,Red,KO/TKO,Punches,Women's Featherweight
423,Ion Cutelaba,Magomed Ankalaev,Blue,KO/TKO,Punches,Light Heavyweight
424,Megan Anderson,Norma Dumont,Red,KO/TKO,Punch,Women's Featherweight
425,Grant Dawson,Darrick Minner,Red,SUB,Rear Naked Choke,Featherweight
426,Gabriel Silva,Kyler Phillips,Blue,U-DEC,,Bantamweight
427,Brendan Allen,Tom Breese,Red,KO/TKO,Punches,Middleweight
428,Luis Pena,Steve Garcia,Red,U-DEC,,Lightweight
429,Marcin Tybura,Serghei Spivac,Red,U-DEC,,Heavyweight
430,Jordan Griffin,TJ Brown,Red,SUB,Guillotine Choke,Featherweight
431,Aalon Cruz,Spike Carlyle,Blue,KO/TKO,Punches,Featherweight
432,Sean Brady,Ismail Naurdiev,Red,U-DEC,,Welterweight
433,Paul Felder,Dan Hooker,Blue,S-DEC,,Lightweight
434,Jim Crute,Michal Oleksiejczuk,Red,,,Light Heavyweight
435,Karolina Kowalkiewicz,Yan Xiaonan,Blue,,,Women's Strawweight
436,Ben Sosoli,Marcos Rogerio De Lima,Blue,,,Heavyweight
437,Brad Riddell,Magomed Mustafaev,Red,S-DEC,,Lightweight
438,Kevin Aguilar,Zubaira Tukhugov,Blue,KO/TKO,Punches,Featherweight
439,Jalin Turner,Joshua Culibao,Red,,,Lightweight
440,Jake Matthews,Emil Meek,Red,U-DEC,,Welterweight
441,Callan Potter,Song Kenan,Blue,,,Welterweight
442,Kai Kara France,Tyson Nam,Red,,,Flyweight
443,Loma Lookboonmee,Angela Hill,Blue,U-DEC,,Women's Strawweight
444,Priscila Cachoeira,Shana Dobson,Red,KO/TKO,Punch,Women's Flyweight
445,Francis Ngannou,Junior Dos Santos,Red,KO/TKO,Punch,Heavyweight
446,Jussier Formiga,Joseph Benavidez,Blue,KO/TKO,Punches,Flyweight
447,Demian Maia,Rocco Martin,Red,,,Welterweight
448,Roosevelt Roberts,Vinc Pichel,Blue,U-DEC,,Lightweight
449,Drew Dober,Marco Polo Reyes,Red,KO/TKO,Punches,Lightweight
450,Alonzo Menifield,Paul Craig,Red,KO/TKO,Punch,Light Heavyweight
451,Ricardo Ramos,Journey Newson,Red,U-DEC,,Bantamweight
452,Eryk Anders,Vinicius Moreira,Red,KO/TKO,Punch,Light Heavyweight
453,Jared Gordon,Dan Moret,Red,U-DEC,,Lightweight
454,Dalcha Lungiambula,Dequan Townsend,Red,KO/TKO,Punch,Light Heavyweight
455,Emily Whitmire,Amanda Ribas,Blue,SUB,Rear Naked Choke,Women's Strawweight
456,Maurice Greene,Junior Albini,Red,KO/TKO,Punch,Heavyweight
457,Renato Moicano,Chan Sung Jung,Blue,KO/TKO,Punch,Featherweight
458,Bryan Barberena,Randy Brown,Blue,KO/TKO,Kick,Welterweight
459,Andre Ewell,Anderson Dos Santos,Red,U-DEC,,Bantamweight
460,Andrea Lee,Montana De La Rosa,Red,U-DEC,,Women's Flyweight
461,Kevin Holland,Alessio Di Chirico,Red,U-DEC,,Middleweight
462,Dan Ige,Kevin Aguilar,Red,U-DEC,,Featherweight
463,Ashley Yoder,Syuri Kondo,Red,U-DEC,,Women's Strawweight
464,Matt Wiman,Luis Pena,Blue,KO/TKO,Punches,Lightweight
465,Allen Crowder,Jairzinho Rozenstruik,Blue,KO/TKO,Punches,Heavyweight
466,Ariane Lipski,Molly McCann,Blue,U-DEC,,Women's Flyweight
467,Deron Winn,Eric Spicely,Red,U-DEC,,Middleweight
468,Jon Jones,Thiago Santos,Red,S-DEC,,Light Heavyweight
469,Amanda Nunes,Holly Holm,Red,KO/TKO,Kick,Women's Bantamweight
470,Jorge Masvidal,Ben Askren,Red,KO/TKO,Flying Knee,Welterweight
471,Jan Blachowicz,Luke Rockhold,Red,KO/TKO,Punch,Light Heavyweight
472,Diego Sanchez,Michael Chiesa,Blue,U-DEC,,Welterweight
473,Gilbert Melendez,Arnold Allen,Blue,U-DEC,,Featherweight
474,Marlon Vera,Nohelin Hernandez,Red,SUB,Rear Naked Choke,Bantamweight
475,Caludia Gadelha,Randa Markos,Red,,,Women's Strawweight
476,Alejandro Perez,Song Yadong,Blue,KO/TKO,Punch,Bantamweight
477,Edmen Shahbazyan,Jack Marshman,Red,SUB,Rear Naked Choke,Middleweight
478,Ismail Naurdiev,Chance Rencountre,Blue,U-DEC,,Welterweight
479,Julia Avila,Pannie Kianzad,Red,U-DEC,,Women's Bantamweight
480,Corey Anderson,Jan Blachowicz,Blue,KO/TKO,Punch,Light Heavyweight
481,Diego Sanchez,Michel Pereira,Red,DQ,,Welterweight
482,Montana De La Rosa,Mara Romero Borella,Red,U-DEC,,Women's Flyweight
483,Brok Weaver,Kazula Vargas,Red,DQ,,Lightweight
484,Rogerio Bontorin,Ray Borg,Blue,U-DEC,,Flyweight
485,Lando Vannata,Yancy Medeiros,Red,U-DEC,,Lightweight
486,Tim Means,Daniel Rodriguez,Blue,SUB,Guillotine Choke,Welterweight
487,John Dodson,Nathaniel Wood,Red,KO/TKO,Punch,Bantamweight
488,Jim Miller,Scott Holtzman,Blue,U-DEC,,Lightweight
489,Devin Clark,Dequan Townsend,Red,U-DEC,,Light Heavyweight
490,Casey Kenney,Merab Dvalishvili,Blue,U-DEC,,Bantamweight
491,Macy Chiasson,Shanna Young,Red,U-DEC,,Women's Bantamweight
492,Mark De La Rosa,Raulian Paiva,Blue,KO/TKO,Punch,Flyweight
493,Germaine De Randamie,Aspen Ladd,Red,,,Women's Bantamweight
494,Urijah Faber,Ricky Simon,Red,KO/TKO,Punch,Bantamweight
495,Josh Emmett,Mirsad Bektic,Red,KO/TKO,Punches,Featherweight
496,Karl Roberson,Wellington Turman,Red,S-DEC,,Middleweight
497,Marvin Vettori,Cezar Ferreira,Red,U-DEC,,Middleweight
498,Andre Fili,Sheymon Moraes,Red,KO/TKO,Punch,Featherweight
499,Julianna Pena,Nicco Montano,Red,U-DEC,,Women's Bantamweight
500,Darren Elkins,Ryan Hall,Blue,U-DEC,,Featherweight
501,Liu Pingyuan,Jonathan Martinez,Blue,KO/TKO,Knee,Bantamweight
502,Livinha Souza,Brianna Van Buren,Blue,U-DEC,,Women's Strawweight
503,Benito Lopez,Vince Morales,Red,U-DEC,,Bantamweight
504,Rafael Dos Anjos,Leon Edwards,Blue,U-DEC,,Welterweight
505,Aleksei Oleinik,Walt Harris,Blue,KO/TKO,Punch,Heavyweight
506,Greg Hardy,Juan Adams,Red,KO/TKO,Punches,Heavyweight
507,James Vick,Dan Hooker,Blue,KO/TKO,Punch,Lightweight
508,Alexander Hernandez,Francisco Trinaldo,Red,U-DEC,,Lightweight
509,Andrei Arlovski,Ben Rothwell,Red,U-DEC,,Heavyweight
510,Alex Caceres,Steven Peterson,Red,U-DEC,,Featherweight
511,Raquel Pennington,Irene Aldana,Red,S-DEC,,Women's Bantamweight
512,Sam Alvey,Klidson Abreu,Blue,U-DEC,,Light Heavyweight
513,Roxanne Modafferi,Jennifer Maia,Blue,U-DEC,,Women's Flyweight
514,Ray Borg,Gabriel Silva,Red,U-DEC,,Bantamweight
515,Mario Bautista,Jin Soo Son,Red,U-DEC,,Bantamweight
516,Domingo Pilarte,Felipe Colares,Blue,S-DEC,,Bantamweight
517,Max Holloway,Frankie Edgar,Red,U-DEC,,Featherweight
518,Cris Cyborg,Felicia Spencer,Red,,,Women's Featherweight
519,Geoff Neal,Niko Price,Red,KO/TKO,Punches,Welterweight
520,Olivier Aubin-Mercier,Arman Tsarukyan,Blue,U-DEC,,Lightweight
521,Marc-Andre Barriault,Krzystof Jotko,Blue,,,Middleweight
522,Alexis Davis,Viviane Araujo,Blue,U-DEC,,Women's Flyweight
523,Hakeem Dawodu,Yoshinori Horie,Red,KO/TKO,Kick,Featherweight
524,Gavin Tucker,Seungwoo Choi,Red,,,Featherweight
525,Alexandre Pantoja,Deiveson Figueiredo,Blue,U-DEC,,Flyweight
526,Gillian Robertson,Sarah Frota,Red,KO/TKO,Elbows,Women's Flyweight
527,Erik Koch,Kyle Stewart,Red,U-DEC,,Welterweight
528,Colby Covington,Robbie Lawler,Red,U-DEC,,Welterweight
529,Jim Miller,Clay Guida,Red,SUB,Guillotine Choke,Lightweight
530,Joaquim Silva,Nasrat Haqparast,Blue,KO/TKO,Punch,Lightweight
531,Trevin Giles,Gerald Meerschaert,Blue,SUB,Guillotine Choke,Middleweight
532,Scott Holtzman,Dong Hyun Ma,Red,KO/TKO,,Lightweight
533,Darko Stosic,Kennedy Nzechukwu,Blue,U-DEC,,Light Heavyweight
534,Mickey Gall,Salim Touahri,Red,U-DEC,,Welterweight
535,Antonina Shevchenko,Lucie Pudilova,Red,SUB,Rear Naked Choke,Women's Flyweight
536,Jordan Espinosa,Matt Schnell,Blue,SUB,Triangle Choke,Flyweight
537,Lauren Murphy,Mara Romero Borella,Red,KO/TKO,Knee,Women's Flyweight
538,Claudio Silva,Cole Williams,Red,SUB,Neck Crank,Welterweight
539,Miranda Granger,Hannah Goldy,Red,U-DEC,,Women's Flyweight
540,Jon Jones,Dominick Reyes,Red,U-DEC,,Light Heavyweight
541,Valentina Shevchenko,Katlyn Chookagian,Red,KO/TKO,Punches,Women's Flyweight
542,Juan Adams,Justin Tafa,Blue,KO/TKO,Punch,Heavyweight
543,Mirsad Bektic,Dan Ige,Blue,S-DEC,,Featherweight
544,Derrick Lewis,Ilir Latifi,Red,U-DEC,,Heavyweight
545,Trevin Giles,James Krause,Red,S-DEC,,Middleweight
546,Alex Morono,Kalinn Williams,Blue,,,Welterweight
547,Lauren Murphy,Andrea Lee,Red,S-DEC,,Women's Flyweight
548,Miles Johns,Mario Bautista,Blue,KO/TKO,Flying Knee,Bantamweight
549,Domingo Pilarte,Journey Newson,Blue,Overturned,Punch,Bantamweight
550,Andre Ewell,Jonathan Martinez,Red,S-DEC,,Bantamweight
551,Austin Lingo,Youssef Zalel,Blue,,,Featherweight
552,Valentina Shevchenko,Liz Carmouche,Red,U-DEC,,Women's Flyweight
553,Vincente Luque,Mike Perry,Red,,,Welterweight
554,Luiz Garagorri,Humberto Bandenay,Red,,,Featherweight
555,Volkan Oezdemir,Ilir Latifi,Red,KO/TKO,Punch,Light Heavyweight
556,Rodolfo Vieira,Oskar Piechota,Red,SUB,Arm Triangle,Middleweight
557,Enrique Barzola,Bobby Moffett,Red,S-DEC,,Featherweight
558,Gilbert Burns,Aleksei Kunchenko,Red,U-DEC,,Welterweight
559,Ciryl Gane,Raphael Pessoa Nunes,Red,,,Heavyweight
560,Tecia Torres,Marina Rodriguez,Blue,U-DEC,,Women's Strawweight
561,Rogerio Bontorin,Raulian Paiva,Red,KO/TKO,,Flyweight
562,Geraldo de Freitas,Chris Gutierrez,Blue,S-DEC,,Bantamweight
563,Kazula Vargas,Alex Da Silva,Blue,U-DEC,,Lightweight
564,Veronica Macedo,Polyana Viana,Red,SUB,Armbar,Women's Flyweight
565,Daniel Cormier,Stipe Miocic,Blue,KO/TKO,Punches,Heavyweight
566,Anthony Pettis,Nate Diaz,Blue,U-DEC,,Welterweight
567,Yoel Romero,Paulo Costa,Blue,U-DEC,,Middleweight
568,Gabriel Benitez,Sodiq Yusuff,Blue,KO/TKO,Punch,Featherweight
569,Derek Brunson,Ian Heinisch,Red,U-DEC,,Middleweight
570,Devonte Smith,Khama Worthy,Blue,KO/TKO,Punch,Lightweight
571,Raphael Assuncao,Cory Sandhagen,Blue,U-DEC,,Bantamweight
572,Christos Giagos,Drakkar Klose,Blue,U-DEC,,Lightweight
573,Manny Bermudez,Casey Kenney,Blue,U-DEC,,Catch Weight
574,Hannah Cifers,Jodie Esquibel,Red,U-DEC,,Women's Strawweight
575,Kyung Ho Kang,Brandon Davis,Red,S-DEC,,Bantamweight
576,Sabina Mazo,Shana Dobson,Red,U-DEC,,Women's Flyweight
577,Jessica Andrade,Zhang Weili,Blue,,,Women's Strawweight
578,Li Jingliang,Elizeu Dos Santos,Red,,,Welterweight
579,Kai Kara-France,Mark De La Rosa,Red,U-DEC,,Flyweight
580,Song Kenan,Derrick,Red,,,Welterweight
581,Wu Yanan,Mizuki Inoue,Blue,,,Women's Flyweight
582,Junyong Park,Anthony Hernandez,Blue,SUB,Anaconda Choke,Middleweight
583,Su Mudaerji,Andre Soukhamthath,Red,U-DEC,,Bantamweight
584,Da Un Jung,Khadis Ibragimov,Red,,,Light Heavyweight
585,Damir Ismagulov,Thiago Moises,Red,U-DEC,,Lightweight
586,Heili Alateng,Danaa Batgerel,Red,U-DEC,,Bantamweight
587,Karol Rosa,Lara Procopio,Red,S-DEC,,Women's Bantamweight
588,Khabib Nurmagomedov,Dustin Poirier,Red,SUB,Rear Naked Choke,Lightweight
589,Edson Barboza,Paul Felder,Blue,S-DEC,,Lightweight
590,Islam Makhachev,Davi Ramos,Red,U-DEC,,Lightweight
591,Curtis Blaydes,Shamil Abdurakhimov,Red,KO/TKO,Elbow,Heavyweight
592,Mairbek Taisumov,Diego Ferreira,Blue,U-DEC,,Lightweight
593,Joanne Calderwood,Andrea Lee,Red,S-DEC,,Women's Flyweight
594,Liana Jojua,Sarah Moras,Blue,KO/TKO,Elbows,Women's Bantamweight
595,Ottman Azaitar,Teemu Packalen,Red,KO/TKO,Punch,Lightweight
596,Belal Muhammad,Takashi Sato,Red,SUB,Rear Naked Choke,Welterweight
597,Nordine Taleb,Muslim Salikhov,Blue,KO/TKO,Punch,Welterweight
598,Omari Akhmedov,Zak Cummings,Red,U-DEC,,Middleweight
599,Don Madge,Fares Ziam,Red,U-DEC,,Lightweight
600,Donald Cerrone,Justin Gaethje,Blue,KO/TKO,Punch,Lightweight
601,Glover Teixeira,Nikita Krylov,Red,S-DEC,,Light Heavyweight
602,Michel Pereira,Tristan Connelly,Blue,U-DEC,,Welterweight
603,Uriah Hall,Antonio Carlos Junior,Red,S-DEC,,Middleweight
604,Misha Cirkunov,Jimmy Crute,Red,SUB,Peruvian Necktie,Light Heavyweight
605,Marcin Tybura,Augusto Sakai,Blue,KO/TKO,Punches,Heavyweight
606,Cole Smith,Miles Johns,Blue,S-DEC,,Bantamweight
607,Brad Katona,Hunter Azure,Blue,U-DEC,,Bantamweight
608,Chas Skelly,Jordan Griffin,Red,U-DEC,,Featherweight
609,Louis Smolka,Ryan MacDonald,Red,KO/TKO,Punch,Bantamweight
610,Kyle Prepolec,Austin Hubbard,Blue,U-DEC,,Lightweight
611,Carla Esparza,Alexa Grasso,Red,M-DEC,,Women's Strawweight
612,Irene Aldana,Vanessa Melo,Red,U-DEC,,Women's Bantamweight
613,Martin Bravo,Steven Peterson,Blue,KO/TKO,Spinning Back Fist,Featherweight
614,Jose Quinonez,Carlos Huachin,Red,U-DEC,,Bantamweight
615,Marco Polo Reyes,Kyle Nelson,Blue,KO/TKO,Punch,Featherweight
616,Ariane Carnelossi,Angela Hill,Blue,KO/TKO,Elbow,Women's Strawweight
617,Sergio Pettis,Tyson Nam,Red,U-DEC,,Flyweight
618,Vinicius Moreira,Paul Craig,Blue,SUB,Rear Naked Choke,Light Heavyweight
619,Sijara Eubanks,Bethe Correia,Blue,U-DEC,,Women's Bantamweight
620,Caludio Puelles,Marcos Mariano,Red,,,Lightweight
621,Jack Hermansson,Jared Cannonier,Blue,KO/TKO,Punch,Middleweight
622,Mark Madsen,Danilo Belluardo,Red,KO/TKO,Punches,Lightweight
623,Gunnar Nelson,Gilbert Burns,Blue,U-DEC,,Welterweight
624,Ion Cutelaba,Khalil Rountree Jr.,Red,KO/TKO,Elbows,Light Heavyweight
625,Michal Oleksiejczuk,Ovince Saint Preux,Blue,SUB,Other - Choke,Light Heavyweight
626,Nicolas Dalby,Alex Oliveira,Red,U-DEC,,Welterweight
627,Alen Amedovski,John Phillips,Blue,KO/TKO,Punch,Middleweight
628,Alessio Di Chirico,Makhmud Muradov,Blue,U-DEC,,Middleweight
629,Siyar Bahadurzada,Ismail Naurdiev,Blue,U-DEC,,Welterweight
630,Brandon Davis,Giga Chikadze,Blue,S-DEC,,Featherweight
631,Macy Chiasson,Lina Lansberg,Blue,U-DEC,,Women's Bantamweight
632,Marc Diakiese,Lando Vannata,Red,U-DEC,,Lightweight
633,Jack Shore,Nohelin Hernandez,Red,SUB,Rear Naked Choke,Bantamweight
634,Robert Whittaker,Israel Adesanya,Blue,KO/TKO,Punch,Middleweight
635,Al Iaquinta,Dan Hooker,Blue,U-DEC,,Lightweight
636,Tai Tuivasa,Serghei Spivac,Blue,SUB,Arm Triangle,Heavyweight
637,Luke Jumeau,Dhiego Lima,Blue,S-DEC,,Welterweight
638,Justin Tafa,Yorgan De Castro,Blue,KO/TKO,Punch,Heavyweight
639,Jake Matthews,Rostem Akman,Red,U-DEC,,Welterweight
640,Callan Potter,Maki Pitolo,Red,U-DEC,,Welterweight
641,Brad Riddell,Jamie Mullarkey,Red,U-DEC,,Lightweight
642,Megan Anderson,Zarah Fairn,Red,SUB,Triangle Choke,Women's Featherweight
643,Nadia Kassem,Ji Yeon Kim,Blue,KO/TKO,Punch,Women's Flyweight
644,Khalid Taha,Bruno Silva,Red,SUB,Arm Triangle,Bantamweight
645,Curtis Blaydes,Junior Dos Santos,Red,KO/TKO,Punches,Heavyweight
646,Rafael Dos Anjos,Michael Chiesa,Blue,U-DEC,,Welterweight
647,Jordan Espinosa,Alex Perez,Blue,SUB,Arm Triangle,Flyweight
648,Hannah Cifers,Angela Hill,Blue,KO/TKO,Elbows,Women's Strawweight
649,Jamahal Hill,Darko Stosic,Red,U-DEC,,Light Heavyweight
650,Bevon Lewis,Dequan Townsend,Red,U-DEC,,Middleweight
651,Arnold Allen,Nik Lentz,Red,U-DEC,,Featherweight
652,Justine Kish,Luci Pudilova,Red,,,Women's Flyweight
653,Montel Jackson,Felipe Colares,Red,U-DEC,,Bantamweight
654,Sara McMann,Lina Lansberg,Red,U-DEC,,Women's Bantamweight
655,Brett Johns,Tony Gravely,Red,SUB,Rear Naked Choke,Bantamweight
656,Herbert Burns,Nate Landwehr,Red,KO/TKO,Knee,Featherweight
657,Joanna Jedrzejczyk,Michelle Waterson,Red,U-DEC,,Women's Strawweight
658,Cub Swanson,Kron Gracie,Red,U-DEC,,Featherweight
659,Niko Price,James Vick,Red,KO/TKO,Kick,Welterweight
660,Mackenzie Dern,Amanda Ribas,Blue,U-DEC,,Women's Strawweight
661,Matt Frevola,Luis Pena,Red,S-DEC,,Lightweight
662,Eryk Anders,Gerald Meerschaert,Red,S-DEC,,Middleweight
663,Ryan Spann,Devin Clark,Red,SUB,Guillotine Choke,Light Heavyweight
664,Mike Davis,Thomas Gifford,Red,KO/TKO,Punch,Lightweight
665,Max Griffin,Alex Morono,Blue,U-DEC,,Welterweight
666,Deiveson Figueiredo,Tim Elliott,Red,SUB,Guillotine Choke,Flyweight
667,Marlon Vera,Andre Ewell,Red,KO/TKO,Elbows,Bantamweight
668,Miguel Baeza,Hector Aldana,Red,KO/TKO,Kick,Welterweight
669,Marvin Vettori,Andrew Sanchez,Red,U-DEC,,Middleweight
670,JJ Aldrich,Lauren Mueller,Red,U-DEC,,Women's Flyweight
671,Yair Rodriguez,Jeremy Stephens,Red,U-DEC,,Featherweight
672,Dominick Reyes,Chris Weidman,Red,KO/TKO,Punches,Light Heavyweight
673,Joe Lauzon,Jonathan Pearce,Red,KO/TKO,Punches,Lightweight
674,Maycee Barber,Gillian Robertson,Red,KO/TKO,Punches,Women's Flyweight
675,Deron Winn,Darren Stewart,Blue,S-DEC,,Middleweight
676,Charles Rosa,Manny Bermudez,Red,SUB,Armbar,Featherweight
677,Molly McCann,Diana Belbita,Red,U-DEC,,Women's Flyweight
678,Kyle Bochniak,Sean Woodson,Blue,U-DEC,,Featherweight
679,Randy Costa,Boston Salmon,Red,KO/TKO,Punch,Bantamweight
680,Court McGee,Sean Brady,Blue,U-DEC,,Welterweight
681,Brendan Allen,Kevin Holland,Red,SUB,Rear Naked Choke,Middleweight
682,Daniel Spitz,Tanner Boser,Blue,U-DEC,,Heavyweight
683,Demian Maia,Ben Askren,Red,SUB,Rear Naked Choke,Welterweight
684,Michael Johnson,Stevie Ray,Blue,M-DEC,,Lightweight
685,Frank Camacho,Beneil Dariush,Blue,SUB,Rear Naked Choke,Lightweight
686,Ciryl Gane,Don'tale Mayes,Red,,,Heavyweight
687,Muslim Salikhov,Laureano Staropoli,Red,U-DEC,,Welterweight
688,Randa Markos,Ashley Yoder,Red,S-DEC,,Women's Strawweight
689,Alex White,Rafael Fiziev,Blue,U-DEC,,Lightweight
690,Enrique Barzola,Movsar Evloev,Blue,U-DEC,,Featherweight
691,Maurice Greene,Sergei Pavlovich,Blue,KO/TKO,Punches,Heavyweight
692,Loma Lookboonmee,Alexandra Albu,Red,,,Women's Strawweight
693,Raphael Pessoa Nunes,Jeff Hughes,Red,,,Heavyweight
694,Conor McGregor,Donald Cerrone,Red,KO/TKO,Punches,Welterweight
695,Holly Holm,Raquel Pennington,Red,U-DEC,,Women's Bantamweight
696,Aleksei Oleinik,Maurice Greene,Red,SUB,Armbar,Heavyweight
697,Anthony Pettis,Diego Ferreira,Blue,SUB,Rear Naked Choke,Lightweight
698,Roxanne Modafferi,Maycee Barber,Red,U-DEC,,Women's Flyweight
699,Andre Fili,Sodiq Yusuff,Blue,U-DEC,,Featherweight
700,Drew Dober,Nasrat Haqparast,Red,KO/TKO,Punch,Lightweight
701,Aleksa Camur,Justin Ledet,Red,U-DEC,,Light Heavyweight
702,Tim Elliott,Askar Askarov,Blue,U-DEC,,Flyweight
703,Brian Kelleher,Ode Obsourne,Red,,,Bantamweight
704,Sabina Mazo,JJ Aldrich,Red,S-DEC,,Women's Flyweight
705,Jorge Masvidal,Nate Diaz,Red,KO/TKO,,Welterweight
706,Kelvin Gastelum,Darren Till,Blue,S-DEC,,Middleweight
707,Stephen Thompson,Vicente Luque,Red,U-DEC,,Welterweight
708,Derrick Lewis,Blagoy Ivanov,Red,S-DEC,,Heavyweight
709,Kevin Lee,Gregor Gillespie,Red,KO/TKO,Kick,Lightweight
710,Corey Anderson,Johnny Walker,Red,KO/TKO,Punches,Light Heavyweight
711,Shane Burgos,Makwan Amirkhani,Red,KO/TKO,Punch,Featherweight
712,Brad Tavares,Edmen Shahbazyan,Blue,KO/TKO,Kick,Middleweight
713,Andrei Arlovski,Jairzinho Rozenstruik,Blue,KO/TKO,Punch,Heavyweight
714,Katlyn Chookagian,Jennifer Maia,Red,U-DEC,,Women's Flyweight
715,Lyman Good,Chance Rencountre,Red,KO/TKO,Punch,Welterweight
716,Julio Arce,Hakeem Dawodu,Blue,S-DEC,,Featherweight
717,Zabit Magomedsharipov,Calvin Kattar,Red,U-DEC,,Featherweight
718,Alekander Volkov,Greg Hardy,Red,,,Heavyweight
719,Zelim Imadaev,Danny Roberts,Blue,KO/TKO,Punch,Welterweight
720,Khadis Ibragimov,Ed Herman,Blue,U-DEC,,Light Heavyweight
721,Ramazan Emeev,Rocco Martin,Blue,,,Welterweight
722,Shamil Gamzatov,Klidson Abreu,Red,S-DEC,,Light Heavyweight
723,Magomed Ankalaev,Dalcha Lungiambula,Red,KO/TKO,Kick,Light Heavyweight
724,Rustam Khabilov,Sergey Khandozhko,Red,U-DEC,,Welterweight
725,Roman Kopylov,Karl Roberson,Blue,SUB,Rear Naked Choke,Middleweight
726,Abubakar Nurmagomedov,David Zawada,Blue,SUB,Triangle Choke,Welterweight
727,Alexander Yakovlev,Roosevelt Roberts,Blue,U-DEC,,Lightweight
728,Jessica-Rose Clark,Pannie Kianzad,Blue,U-DEC,,Women's Bantamweight
729,Grigorii Popov,Davey Grant,Blue,,,Bantamweight
730,Jan Blachowicz,Jacare Souza,Red,S-DEC,,Light Heavyweight
731,Charles Oliveira,Jared Gordon,Red,KO/TKO,Punch,Lightweight
732,Antonio Arroyo,Andre Muniz,Blue,U-DEC,,Middleweight
733,Markus Perez,Wellington Turman,Blue,U-DEC,,Middleweight
734,Sergio Moraes,James Krause,Blue,KO/TKO,Punch,Welterweight
735,Ricardo Ramos,Eduardo Garagorri,Red,SUB,Rear Naked Choke,Featherweight
736,Francisco Trinaldo,Bobby Green,Red,U-DEC,,Lightweight
737,Warlley Alves,Randy Brown,Blue,SUB,Triangle Choke,Welterweight
738,Douglas Silva de Andrade,Renan Barao,Red,U-DEC,,Featherweight
739,Ariane Lipski,Isabela De Pauda,Red,,,Women's Flyweight
740,Vanessa Melo,Tracy Cortez,Blue,U-DEC,,Women's Bantamweight
741,Frankie Edgar,Chan Sung Jung,Blue,KO/TKO,Punches,Featherweight
742,Volkan Oezdemir,Aleksandar Rakic,Red,S-DEC,,Light Heavyweight
743,Dooho Choi,Charles Jourdain,Blue,KO/TKO,Punches,Featherweight
744,Da Un Jung,Mike Rodriguez,Red,,,Light Heavyweight
745, Jun Yong Park,Marc-Andre Barriault,Red,,,Middleweight
746,Kyung Ho Kang,Liu Pingyuan,Red,S-DEC,,Bantamweight
747,Ciryl Gane,Tanner Boser,Red,U-DEC,,Heavyweight
748,Seungwoo Choi,Suman Mokhtarian,Red,,,Featherweight
749,Dong Hyun Ma,Omar Antonio Morales Ferrer,Blue,,,Lightweight
750,Alexandre Pantoja,Matt Schnell,Red,KO/TKO,Punch,Flyweight
